job_id,num_qubits,depth,priority,arrival_time,num_shots
223,7,18,2,,39900
224,11,15,2,,42074
225,10,19,2,,78456
226,7,12,2,,34238
227,17,16,2,,83520
228,6,16,2,,59701
229,6,14,2,,54130
230,13,10,2,,77565
231,10,8,2,,79663
232,11,12,2,,74638
233,16,16,2,,90062
234,6,13,2,,80666
235,7,10,2,,11256
236,8,8,2,,88058
237,7,19,2,,94938
238,8,16,2,,62174
239,9,18,2,,57163
240,7,17,2,,50085
241,9,19,2,,34503
242,8,13,2,,18973
243,12,19,2,,47662
244,14,17,2,,14843
245,18,20,2,,81876
246,9,18,2,,59147
247,11,8,2,,30822
248,18,11,2,,25230
249,20,5,2,,25580
250,5,18,2,,14217
251,20,15,2,,55449
252,8,8,2,,80302
253,5,7,2,,13444
254,9,7,2,,64834
255,10,6,2,,15244
256,10,7,2,,64449
257,12,15,2,,15817
258,16,10,2,,69601
259,20,5,2,,75188
260,19,10,2,,35094
261,19,5,2,,90975
262,5,12,2,,57369
263,13,7,2,,74601
264,6,8,2,,42627
265,7,7,2,,30076
266,8,11,2,,64237
267,5,6,2,,80926
268,11,10,2,,67135
269,5,15,2,,51256
270,19,5,2,,95625
271,13,5,2,,48440
272,14,12,2,,41096
273,7,9,2,,28315
274,7,7,2,,80753
275,11,8,2,,18423
276,19,8,2,,90396
277,8,20,2,,12014
278,18,17,2,,44678
279,19,11,2,,15799
280,14,13,2,,22415
281,10,19,2,,14284
282,13,12,2,,36896
283,12,9,2,,24703
284,9,7,2,,77214
285,11,19,2,,67124
286,15,19,2,,49448
287,18,19,2,,70961
288,11,14,2,,38594
289,13,9,2,,20859
290,20,16,2,,73823
291,11,14,2,,24086
292,6,11,2,,98132
293,13,12,2,,63755
294,11,11,2,,45817
295,8,9,2,,10297
296,10,15,2,,36467
297,7,18,2,,57521
298,11,7,2,,27526
299,18,7,2,,31507
300,8,16,2,,46819
301,19,8,2,,79342
302,12,11,2,,96057
303,13,9,2,,66400
304,17,15,2,,71475
305,13,15,2,,75214
306,12,13,2,,54009
307,6,14,2,,78802
308,6,17,2,,22746
309,6,6,2,,21155
310,5,14,2,,72945
311,7,13,2,,91683
312,16,6,2,,27608
313,13,5,2,,78806
314,16,15,2,,49897
315,7,17,2,,39419
316,8,20,2,,75414
317,20,14,2,,36568
318,18,14,2,,27725
319,16,11,2,,39226
320,8,8,2,,62438
321,16,10,2,,61645
322,15,9,2,,28522
323,9,11,2,,57875
324,15,15,2,,62561
325,5,10,2,,11966
326,14,13,2,,25916
327,11,19,2,,22429
328,20,7,2,,52973
329,8,18,2,,32607
330,13,19,2,,66515
331,17,13,2,,25923
332,19,15,2,,55333
333,9,6,2,,23474
334,6,14,2,,86288
335,17,6,2,,50097
336,18,12,2,,77714
337,8,19,2,,25814
338,7,7,2,,96627
339,13,6,2,,36790
340,6,9,2,,19623
341,16,17,2,,85295
342,8,9,2,,14390
343,16,14,2,,51031
344,17,13,2,,81545
345,14,11,2,,93138
346,7,17,2,,51516
347,9,10,2,,77055
348,7,10,2,,35750
349,18,7,2,,17610
350,14,14,2,,77576
351,5,20,2,,67290
352,5,14,2,,15049
353,10,20,2,,31431
354,14,14,2,,42691
355,18,18,2,,84325
356,18,11,2,,39097
357,15,8,2,,77953
358,6,8,2,,19463
359,7,9,2,,94154
360,6,17,2,,21460
361,12,16,2,,42910
362,18,14,2,,78735
363,8,5,2,,69600
364,20,7,2,,84570
365,12,20,2,,96609
366,12,5,2,,41691
367,15,7,2,,25441
368,6,6,2,,73786
369,12,10,2,,55866
370,7,10,2,,96111
371,16,7,2,,89040
372,11,16,2,,33435
373,11,10,2,,17775
374,16,15,2,,87201
375,11,16,2,,59727
376,5,11,2,,91126
377,10,17,2,,84675
378,13,5,2,,40548
379,9,13,2,,56684
380,19,14,2,,27868
381,13,14,2,,96058
382,10,17,2,,30668
383,6,17,2,,14699
384,14,14,2,,77469
385,10,18,2,,98491
386,10,9,2,,29369
387,17,19,2,,95365
388,12,10,2,,27325
389,7,17,2,,19586
390,13,10,2,,70964
391,19,11,2,,63143
392,6,10,2,,40641
393,17,16,2,,12426
394,16,14,2,,14539
395,9,15,2,,94782
396,6,9,2,,95555
397,11,14,2,,73361
398,7,10,2,,85265
399,14,19,2,,17005
400,12,14,2,,80428
401,12,7,2,,24658
402,18,5,2,,99191
403,12,19,2,,83986
404,13,5,2,,34230
405,6,9,2,,19447
406,10,17,2,,49198
407,5,14,2,,24594
408,14,7,2,,41674
409,19,11,2,,89393
410,11,9,2,,15109
411,14,10,2,,66911
412,17,15,2,,36345
413,18,10,2,,84138
414,18,15,2,,94187
415,10,8,2,,51925
416,14,8,2,,84361
417,15,8,2,,47538
418,9,8,2,,58859
419,18,15,2,,95901
420,10,17,2,,70322
421,15,8,2,,56189
422,7,9,2,,98603
423,19,19,2,,45463
424,6,14,2,,44571
425,19,10,2,,83616
426,8,16,2,,82301
427,12,11,2,,44554
428,11,15,2,,79006
429,6,5,2,,14828
430,11,19,2,,56130
431,20,10,2,,53304
432,11,5,2,,19116
433,5,8,2,,54409
434,12,8,2,,33208
435,9,16,2,,11269
436,7,6,2,,83069
437,19,18,2,,29436
438,18,18,2,,33411
439,12,20,2,,63974
440,12,17,2,,16140
441,5,19,2,,64371
442,20,5,2,,62155
443,18,20,2,,33155
444,14,7,2,,58494
445,17,7,2,,67054
446,15,14,2,,14302
447,11,6,2,,17555
448,19,18,2,,87466
449,5,7,2,,73121
450,17,20,2,,28537
451,8,16,2,,21306
452,15,7,2,,68759
453,9,15,2,,32051
454,14,17,2,,46771
455,16,20,2,,46274
456,20,11,2,,18970
457,12,17,2,,37867
458,9,13,2,,73525
459,9,7,2,,57701
460,14,5,2,,84742
461,20,10,2,,19274
462,19,11,2,,66184
463,10,9,2,,26788
464,13,11,2,,29372
465,10,8,2,,34174
466,14,16,2,,59979
467,7,5,2,,10498
468,13,15,2,,40977
469,11,12,2,,41238
470,17,20,2,,25898
471,17,9,2,,66911
472,14,17,2,,20273
473,20,16,2,,85292
474,20,20,2,,35782
475,12,13,2,,68371
476,16,6,2,,41220
477,5,8,2,,10304
478,8,10,2,,66419
479,7,13,2,,14395
480,14,14,2,,59188
481,8,9,2,,11224
482,7,9,2,,46017
483,9,14,2,,36199
484,5,11,2,,22860
485,6,14,2,,44851
486,7,15,2,,42909
487,14,6,2,,20338
488,5,19,2,,52181
489,13,12,2,,65499
490,13,20,2,,51591
491,9,7,2,,39724
492,20,9,2,,39796
493,15,20,2,,91782
494,20,5,2,,83159
495,7,5,2,,40395
496,11,6,2,,87001
497,5,13,2,,64546
498,8,18,2,,69657
499,13,11,2,,39522
500,12,6,2,,90332
501,19,19,2,,62734
502,10,14,2,,28210
503,18,20,2,,88154
504,16,7,2,,98591
505,9,20,2,,53797
506,14,12,2,,22120
507,14,9,2,,62049
508,11,12,2,,20846
509,18,16,2,,18229
510,19,19,2,,70667
511,12,7,2,,81635
512,7,5,2,,33362
513,10,7,2,,98154
514,14,12,2,,78886
515,8,14,2,,50419
516,13,20,2,,15373
517,6,18,2,,36468
518,15,12,2,,81658
519,7,12,2,,38698
520,6,20,2,,67960
521,20,19,2,,42116
522,7,20,2,,63809
523,5,18,2,,28702
524,19,15,2,,60165
525,9,9,2,,17787
526,19,18,2,,21178
527,11,10,2,,46802
528,19,15,2,,68970
529,5,12,2,,89440
530,15,17,2,,61837
531,15,8,2,,98039
532,7,10,2,,20026
533,7,18,2,,39043
534,14,13,2,,76503
535,16,18,2,,89316
536,16,13,2,,47048
537,7,13,2,,71959
538,17,19,2,,85146
539,15,5,2,,94246
540,16,14,2,,13920
541,5,11,2,,54944
542,12,14,2,,80465
543,6,17,2,,50331
544,8,7,2,,20125
545,6,13,2,,13198
546,7,5,2,,48544
547,17,12,2,,54366
548,13,13,2,,22073
549,14,6,2,,82545
550,5,14,2,,38687
551,19,20,2,,44947
552,19,17,2,,70045
553,6,8,2,,34166
554,16,6,2,,98409
555,6,20,2,,11891
556,18,20,2,,94617
557,11,12,2,,18819
558,5,5,2,,99965
559,10,15,2,,89398
560,11,17,2,,70928
561,18,13,2,,87641
562,10,16,2,,56659
563,15,11,2,,62114
564,11,5,2,,73354
565,12,18,2,,64536
566,9,20,2,,54942
567,19,10,2,,55698
568,15,7,2,,79610
569,17,18,2,,92018
570,10,10,2,,62499
571,9,5,2,,56327
572,7,5,2,,90107
573,20,12,2,,96666
574,19,5,2,,89835
575,15,11,2,,19399
576,12,10,2,,60138
577,12,7,2,,82412
578,17,10,2,,61849
579,9,5,2,,35655
580,10,14,2,,74576
581,19,7,2,,50558
582,10,15,2,,46464
583,18,17,2,,17954
584,20,17,2,,71833
585,14,10,2,,29188
586,13,16,2,,41646
587,9,12,2,,60335
588,15,8,2,,59352
589,18,8,2,,22717
590,12,6,2,,58259
591,6,15,2,,71215
592,18,7,2,,33756
593,20,9,2,,42971
594,10,12,2,,11340
595,9,9,2,,86514
596,8,8,2,,53402
597,20,18,2,,11876
598,11,8,2,,21508
599,8,15,2,,21775
600,14,10,2,,17034
601,14,7,2,,75988
602,19,10,2,,12733
603,16,5,2,,96861
604,10,9,2,,67530
605,19,15,2,,56968
606,10,11,2,,87522
607,17,16,2,,16458
608,14,17,2,,44007
609,8,14,2,,90275
610,12,8,2,,75463
611,20,12,2,,39386
612,13,11,2,,56125
613,7,9,2,,88946
614,8,7,2,,25934
615,10,11,2,,71700
616,20,14,2,,26934
617,5,9,2,,13199
618,19,11,2,,22682
619,16,12,2,,92746
620,11,15,2,,22381
621,10,10,2,,23712
622,12,15,2,,79978
623,18,11,2,,17314
624,9,6,2,,23355
625,7,8,2,,59737
626,16,12,2,,17599
627,9,17,2,,40497
628,6,14,2,,51146
629,7,14,2,,77701
630,11,19,2,,89766
631,16,9,2,,26599
632,8,7,2,,73421
633,12,15,2,,20312
634,9,20,2,,36066
635,14,9,2,,45941
636,14,15,2,,74867
637,12,6,2,,97241
638,15,9,2,,91205
639,12,19,2,,36550
640,15,12,2,,20600
641,14,9,2,,27149
642,13,15,2,,15369
643,6,10,2,,53116
644,9,20,2,,35315
645,9,9,2,,47812
646,11,20,2,,75067
647,13,14,2,,59998
648,11,14,2,,22904
649,8,11,2,,69549
650,20,6,2,,17319
651,6,20,2,,32406
652,18,10,2,,99389
653,10,12,2,,19935
654,10,11,2,,13508
655,17,13,2,,77166
656,6,15,2,,77273
657,19,20,2,,20356
658,6,14,2,,79042
659,16,19,2,,40619
660,9,20,2,,99039
661,18,7,2,,78259
662,15,13,2,,68191
663,15,16,2,,10328
664,7,12,2,,21352
665,8,9,2,,64669
666,15,5,2,,74693
667,13,12,2,,58127
668,10,10,2,,92379
669,5,9,2,,30408
670,11,8,2,,76406
671,18,15,2,,89615
672,6,8,2,,23345
673,5,16,2,,29873
674,7,14,2,,65638
675,7,12,2,,78508
676,12,17,2,,32095
677,20,15,2,,43458
678,14,9,2,,82928
679,13,20,2,,36629
680,10,6,2,,94030
681,12,13,2,,89997
682,17,20,2,,95578
683,8,13,2,,18934
684,7,15,2,,67202
685,20,19,2,,79699
686,17,15,2,,70233
687,10,20,2,,31773
688,6,17,2,,26561
689,9,5,2,,31853
690,18,20,2,,96865
691,13,12,2,,39777
692,7,17,2,,62139
693,5,13,2,,13067
694,19,11,2,,28412
695,6,11,2,,26525
696,9,9,2,,19760
697,13,17,2,,99275
698,14,9,2,,58323
699,5,11,2,,70884
700,15,5,2,,57180
701,19,13,2,,96292
702,5,6,2,,80471
703,13,17,2,,63993
704,13,16,2,,46244
705,5,18,2,,10739
706,17,15,2,,85128
707,19,19,2,,48112
708,11,6,2,,85330
709,10,14,2,,38965
710,10,12,2,,44924
711,15,7,2,,97930
712,5,19,2,,84995
713,19,10,2,,78086
714,7,14,2,,67059
715,15,20,2,,28797
716,7,14,2,,89083
717,16,6,2,,96965
718,7,9,2,,74814
719,18,17,2,,58024
720,5,16,2,,43291
721,18,11,2,,43649
722,15,14,2,,18633
723,7,19,2,,39406
724,17,13,2,,69796
725,11,14,2,,20498
726,5,16,2,,58774
727,9,15,2,,97369
728,8,18,2,,82924
729,11,13,2,,51461
730,15,14,2,,25022
731,11,8,2,,96938
732,20,20,2,,75700
733,15,15,2,,21794
734,7,11,2,,96641
735,18,20,2,,42209
736,10,9,2,,74482
737,14,13,2,,40459
738,10,18,2,,61448
739,18,16,2,,55185
740,9,12,2,,20110
741,16,15,2,,23468
742,13,5,2,,32892
743,20,8,2,,19278
744,12,7,2,,91821
745,15,14,2,,71433
746,7,18,2,,82850
747,10,9,2,,88966
748,7,19,2,,48682
749,13,12,2,,32750
750,20,6,2,,91091
751,11,7,2,,72909
752,11,6,2,,67486
753,20,15,2,,11241
754,5,19,2,,69683
755,19,16,2,,95391
756,12,8,2,,57229
757,13,7,2,,12943
758,18,15,2,,13773
759,12,11,2,,10423
760,14,7,2,,23650
761,5,9,2,,17312
762,11,12,2,,24723
763,13,18,2,,10460
764,13,15,2,,65362
765,8,17,2,,26566
766,8,8,2,,82406
767,7,7,2,,82948
768,14,13,2,,51317
769,12,14,2,,46722
770,14,8,2,,58989
771,6,19,2,,10624
772,9,12,2,,46922
773,6,12,2,,75256
774,19,12,2,,19002
775,6,14,2,,12175
776,12,9,2,,75583
777,16,5,2,,21631
778,17,5,2,,73492
779,14,12,2,,10563
780,14,5,2,,35479
781,9,10,2,,91679
782,5,20,2,,67000
783,5,6,2,,30245
784,17,11,2,,74846
785,20,9,2,,24892
786,18,6,2,,32552
787,9,14,2,,33852
788,11,20,2,,95019
789,20,5,2,,15914
790,19,13,2,,43166
791,15,7,2,,49375
792,14,19,2,,73396
793,11,17,2,,12150
794,17,14,2,,32277
795,15,13,2,,30967
796,14,17,2,,80795
797,11,12,2,,12975
798,15,15,2,,11131
799,5,16,2,,70790
800,20,10,2,,62337
801,6,17,2,,55215
802,20,7,2,,53603
803,7,18,2,,50300
804,12,20,2,,82168
805,16,20,2,,94658
806,18,5,2,,87289
807,19,13,2,,29683
808,14,20,2,,80187
809,10,7,2,,66765
810,10,15,2,,99824
811,20,14,2,,53035
812,7,12,2,,50515
813,16,10,2,,62091
814,16,10,2,,82665
815,10,20,2,,19811
816,8,7,2,,30787
817,17,15,2,,47704
818,8,17,2,,87568
819,10,7,2,,82166
820,19,12,2,,29515
821,9,8,2,,54094
822,17,12,2,,64412
823,9,7,2,,56624
824,13,19,2,,50499
825,16,14,2,,52652
826,17,13,2,,29755
827,12,5,2,,94778
828,18,5,2,,11926
829,15,9,2,,67047
830,11,13,2,,86609
831,9,9,2,,29630
832,19,10,2,,86583
833,9,14,2,,44063
834,18,9,2,,69266
835,7,9,2,,36818
836,10,20,2,,67718
837,6,11,2,,87615
838,12,15,2,,94080
839,13,18,2,,71923
840,12,5,2,,88892
841,20,16,2,,17238
842,12,10,2,,29637
843,11,11,2,,54609
844,7,17,2,,90046
845,15,5,2,,66037
846,11,15,2,,78153
847,18,19,2,,21620
848,5,8,2,,89881
849,17,17,2,,99528
850,11,8,2,,63187
851,15,19,2,,25481
852,7,12,2,,98098
853,18,17,2,,14598
854,20,13,2,,17192
855,19,7,2,,86865
856,8,16,2,,55067
857,13,7,2,,89568
858,19,10,2,,79710
859,19,5,2,,69995
860,8,20,2,,73721
861,15,10,2,,99084
862,9,20,2,,43982
863,7,10,2,,38584
864,7,12,2,,61962
865,19,6,2,,48383
866,17,5,2,,63006
867,7,14,2,,50341
868,16,10,2,,84072
869,13,8,2,,91835
870,5,17,2,,13389
871,12,12,2,,38539
872,17,17,2,,76833
873,10,18,2,,78267
874,8,12,2,,92565
875,7,20,2,,62781
876,20,17,2,,84819
877,19,13,2,,74030
878,9,20,2,,68573
879,13,16,2,,51112
880,10,17,2,,48236
881,15,16,2,,14139
882,17,13,2,,61875
883,14,9,2,,54889
884,20,17,2,,69235
885,9,14,2,,10366
886,5,12,2,,73339
887,6,15,2,,65978
888,13,6,2,,61404
889,14,20,2,,68682
890,13,13,2,,40476
891,10,13,2,,49135
892,7,18,2,,31334
893,18,12,2,,57337
894,19,7,2,,95915
895,17,17,2,,47474
896,12,10,2,,94159
897,9,11,2,,77458
898,11,13,2,,64991
899,19,6,2,,38858
900,12,15,2,,44472
901,18,12,2,,58910
902,9,6,2,,41166
903,6,8,2,,93372
904,7,18,2,,41441
905,12,9,2,,64553
906,10,16,2,,47032
907,11,14,2,,18647
908,13,18,2,,43774
909,12,12,2,,76844
910,20,9,2,,46131
911,6,11,2,,48258
912,16,18,2,,11165
913,7,16,2,,38129
914,7,10,2,,54418
915,13,19,2,,50778
916,9,16,2,,78160
917,8,12,2,,54714
918,17,10,2,,19569
919,18,10,2,,31362
920,19,9,2,,23772
921,8,13,2,,31952
922,16,12,2,,70156
923,5,14,2,,52044
924,8,7,2,,98809
925,6,7,2,,81414
926,20,18,2,,66857
927,6,12,2,,58416
928,8,15,2,,15867
929,9,11,2,,18041
930,6,17,2,,17137
931,14,9,2,,32433
932,9,13,2,,62014
933,13,10,2,,11533
934,15,6,2,,20802
935,15,7,2,,78501
936,11,15,2,,12350
937,13,8,2,,37935
938,9,10,2,,55878
939,11,19,2,,83624
940,12,5,2,,80993
941,20,8,2,,67693
942,19,13,2,,53099
943,5,9,2,,35088
944,7,8,2,,67078
945,11,16,2,,97931
946,12,9,2,,82784
947,18,10,2,,65902
948,18,6,2,,15574
949,20,19,2,,21138
950,13,5,2,,84120
951,12,10,2,,51008
952,6,11,2,,85739
953,13,18,2,,67822
954,10,14,2,,63486
955,10,9,2,,75661
956,19,19,2,,99250
957,9,7,2,,62670
958,12,10,2,,42501
959,9,14,2,,46705
960,20,9,2,,74991
961,11,12,2,,99027
962,17,12,2,,28241
963,15,19,2,,91037
964,12,13,2,,92646
965,20,5,2,,62505
966,20,13,2,,42983
967,14,8,2,,33824
968,8,17,2,,87798
969,16,15,2,,86489
970,9,14,2,,46746
971,18,11,2,,80225
972,8,17,2,,26959
973,13,6,2,,89116
974,12,11,2,,48310
975,18,9,2,,50347
976,9,8,2,,91510
977,13,19,2,,94017
978,14,18,2,,63962
979,18,18,2,,73593
980,18,19,2,,71017
981,9,6,2,,85778
982,20,14,2,,58983
983,5,20,2,,13318
984,14,5,2,,29108
985,13,11,2,,22860
986,19,19,2,,38344
987,18,10,2,,28877
988,18,10,2,,56064
989,5,16,2,,33679
990,9,16,2,,58254
991,12,6,2,,18013
992,12,6,2,,39764
993,15,8,2,,83333
994,10,15,2,,95335
995,20,17,2,,31437
996,14,13,2,,90789
997,20,20,2,,71760
998,18,12,2,,67983
999,20,16,2,,83687
1000,16,12,2,,69406
1001,8,17,2,,82855
1002,19,17,2,,97999
1003,16,12,2,,33100
1004,19,7,2,,91440
1005,7,14,2,,33300
1006,5,16,2,,18745
1007,16,18,2,,61987
1008,12,6,2,,71033
1009,15,15,2,,68554
1010,14,12,2,,48523
1011,16,5,2,,35754
1012,13,9,2,,56620
1013,6,10,2,,29672
1014,20,7,2,,15374
1015,12,18,2,,70936
1016,16,7,2,,18265
1017,19,17,2,,22605
1018,13,19,2,,70167
1019,7,9,2,,63003
1020,16,12,2,,38123
1021,12,14,2,,86281
1022,17,6,2,,89465
1023,5,17,2,,54906
1024,9,8,2,,87433
1025,5,9,2,,21022
1026,13,15,2,,31383
1027,9,5,2,,94845
1028,17,11,2,,32204
1029,19,8,2,,32411
1030,10,10,2,,14860
1031,16,13,2,,84497
1032,8,6,2,,33810
1033,16,11,2,,73722
1034,8,16,2,,65263
1035,13,13,2,,31167
1036,19,5,2,,27273
1037,20,19,2,,38169
1038,10,10,2,,42335
1039,7,13,2,,70338
1040,10,18,2,,97828
1041,9,13,2,,78250
1042,9,17,2,,42264
1043,15,6,2,,87717
1044,15,18,2,,46371
1045,19,16,2,,50961
1046,9,14,2,,72524
1047,20,10,2,,46307
1048,15,15,2,,17340
1049,11,7,2,,28527
1050,18,15,2,,46684
1051,11,9,2,,11425
1052,20,10,2,,70155
1053,17,20,2,,44206
1054,7,19,2,,88001
1055,20,12,2,,55214
1056,17,19,2,,81603
1057,19,18,2,,81751
1058,8,11,2,,65670
1059,6,16,2,,45927
1060,6,14,2,,65430
1061,12,5,2,,89255
1062,19,17,2,,60287
1063,20,8,2,,23748
1064,19,17,2,,43758
1065,17,20,2,,22864
1066,15,15,2,,39259
1067,20,20,2,,37865
1068,7,18,2,,61020
1069,12,6,2,,89656
1070,10,18,2,,88106
1071,14,11,2,,84183
1072,6,6,2,,11735
1073,9,11,2,,86891
1074,18,5,2,,79225
1075,7,6,2,,93331
1076,11,13,2,,47960
1077,15,8,2,,76459
1078,10,17,2,,97691
1079,11,5,2,,39378
1080,19,13,2,,84875
1081,20,18,2,,62983
1082,20,15,2,,33946
1083,16,12,2,,88998
1084,5,5,2,,43951
1085,5,11,2,,15009
1086,18,18,2,,97704
1087,19,14,2,,69027
1088,8,8,2,,22606
1089,17,5,2,,68645
1090,16,5,2,,34038
1091,19,12,2,,96949
1092,7,10,2,,76261
1093,6,8,2,,98345
1094,20,11,2,,13856
1095,8,10,2,,82054
1096,5,14,2,,52360
1097,5,9,2,,14840
1098,19,11,2,,85524
1099,9,16,2,,18755
1100,15,10,2,,78807
1101,17,10,2,,99281
1102,15,6,2,,47657
1103,12,10,2,,46122
1104,5,15,2,,59465
1105,17,6,2,,93818
1106,7,7,2,,80975
1107,5,7,2,,62384
1108,16,11,2,,63669
1109,18,20,2,,62214
1110,6,19,2,,86150
1111,13,15,2,,60123
1112,16,9,2,,87949
1113,12,11,2,,11051
1114,9,14,2,,80502
1115,17,12,2,,18982
1116,12,7,2,,10274
1117,17,10,2,,90310
1118,16,10,2,,13747
1119,20,9,2,,24890
1120,12,6,2,,85245
1121,20,6,2,,19727
1122,16,7,2,,64407
1123,16,18,2,,72507
1124,15,19,2,,26677
1125,7,17,2,,30424
1126,9,15,2,,75739
1127,15,12,2,,81848
1128,6,11,2,,34119
1129,17,17,2,,27011
1130,19,5,2,,39651
1131,9,13,2,,44358
1132,9,9,2,,83698
1133,20,19,2,,83712
1134,14,6,2,,63957
1135,15,11,2,,39101
1136,5,14,2,,39539
1137,15,11,2,,85096
1138,9,17,2,,82408
1139,14,18,2,,28293
1140,17,6,2,,44908
1141,6,18,2,,57982
1142,15,16,2,,78151
1143,10,14,2,,50457
1144,16,20,2,,56991
1145,5,16,2,,89102
1146,9,20,2,,37136
1147,16,15,2,,54960
1148,7,17,2,,71676
1149,10,7,2,,77199
